p_id,professor,student,hasPosition,inPhase,yearsInProgram,p_id_dummy,course_id,courseLevel
3,0,1,0,0,0,,,
4,0,1,0,0,0,,,
5,1,0,Faculty,0,0,,19.0,Level_500
5,1,0,Faculty,0,0,,51.0,Level_400
5,1,0,Faculty,0,0,,71.0,Level_500
6,0,1,0,Post_Quals,Year_2,29.0,,
6,0,1,0,Post_Quals,Year_2,165.0,,
7,1,0,Faculty_adj,0,0,,,
9,0,1,0,Post_Generals,Year_5,335.0,124.0,Level_300
13,0,1,0,Post_Generals,Year_7,240.0,,
14,0,1,0,Post_Generals,Year_10,150.0,,
15,0,1,0,Post_Quals,Year_3,,,
18,0,1,0,Pre_Quals,Year_3,335.0,51.0,Level_400
19,0,1,0,Pre_Quals,Year_1,,,
20,0,1,0,Pre_Quals,Year_1,,,
21,0,1,0,Post_Generals,Year_5,211.0,,
22,1,0,Faculty_eme,0,0,,21.0,Level_400
23,0,1,0,0,0,,,
27,0,1,0,Pre_Quals,Year_1,,,
29,1,0,Faculty_adj,0,0,,,
31,0,1,0,0,0,,,
35,0,1,0,0,0,,,
36,0,1,0,0,0,,,
37,0,1,0,Pre_Quals,Year_1,79.0,,
38,0,1,0,0,0,,,
39,0,1,0,0,0,,,
40,1,0,Faculty,0,0,,0.0,Level_500
40,1,0,Faculty,0,0,,1.0,Level_500
41,0,1,0,Post_Quals,Year_5,394.0,,
42,0,1,0,Pre_Quals,Year_1,,,
45,0,1,0,Post_Generals,Year_5,211.0,,
45,0,1,0,Post_Generals,Year_5,415.0,,
46,1,0,Faculty,0,0,,124.0,Level_300
46,1,0,Faculty,0,0,,172.0,Level_500
51,0,1,0,Pre_Quals,Year_2,,,
52,1,0,Faculty,0,0,,11.0,Level_300
52,1,0,Faculty,0,0,,77.0,Level_500
52,1,0,Faculty,0,0,,121.0,Level_500
52,1,0,Faculty,0,0,,147.0,Level_300
57,1,0,0,0,0,,11.0,Level_300
57,1,0,0,0,0,,147.0,Level_300
58,0,1,0,0,0,,,
61,0,1,0,0,0,,,
62,0,1,0,Pre_Quals,Year_2,104.0,,
63,0,1,0,Post_Generals,Year_5,415.0,,
64,1,0,0,0,0,,49.0,Level_400
67,0,1,0,Post_Generals,Year_6,98.0,,
67,0,1,0,Post_Generals,Year_6,375.0,,
68,0,1,0,Post_Generals,Year_5,201.0,,
70,0,1,0,Pre_Quals,Year_1,,,
71,0,1,0,0,0,,,
72,1,0,Faculty,0,0,,13.0,Level_500
72,1,0,Faculty,0,0,,79.0,Level_500
72,1,0,Faculty,0,0,,115.0,Level_500
72,1,0,Faculty,0,0,,157.0,Level_400
73,0,1,0,Post_Quals,Year_4,,,
75,0,1,0,Post_Generals,Year_6,331.0,165.0,Level_300
76,0,1,0,0,0,,,
77,0,1,0,0,0,,,
79,1,0,Faculty,0,0,,12.0,Level_500
79,1,0,Faculty,0,0,,16.0,Level_500
79,1,0,Faculty,0,0,,24.0,Level_400
